"Id","Belong","Level","UseScript","FightScript","MaxCount","Type"
"唯一标识","属于哪类","难度奖励权重","进入冒险时脚本","进入战斗时脚本","最大层数","分类"
"sunexp_scorched_world","焦枯世界","1","","","4","Normal"
"sunexp_samsara_garden","永恒花园","1","","","4","Normal"
"sunexp_black_sun_calamity","黑日之灾","3","","","1","Normal"
"sunexp_white_radiance_court","白曜圣庭","3","","","1","Normal"
"sunexp_sunset_expedition","落日远征","2","","","1","Normal"
"sunexp_rebirth","重生","4","","","1","Normal"
"sunexp_abyssal_shock","深渊震荡","5","","","1","Normal"
"sunexp_abyss_gaze","深渊凝视","3","","","3","Normal"
"sunexp_morning_star_dimmed","晨星晦暗","10","","","1","Normal"
"sunexp_other_dimension_stagnant_water","异次元-迟滞之水","5","","","1","Normal"
