"Id","Rarity","Expend","Tag","InitScript","DrawScript","UseScript","DropScript","Icon","Effects","Action","PackBelong"
"唯一标识","稀有度","花费","标签","更新显示信息用的","卡牌抽到后执行","卡牌使用后执行","卡牌进入弃牌堆后执行","图标资源的路径","特效路径","动作","所属卡包"
"spark","1","0","白曜","CS.Terrias.Dll.Scripting.CardScripts.Init(self, ""spark"");","","CS.Terrias.Dll.Scripting.CardScripts.Use(self, ""spark"");","","Mods/Terrias/ModResource/Images/Card/Terrias/spark","","Attack","Terrias_terrias_cardpack_solar_ember_crown_canopy"
"scorching_canopy_card","1","1","白曜","CS.Terrias.Dll.Scripting.CardScripts.Init(self, ""scorching_canopy_card"");","","CS.Terrias.Dll.Scripting.CardScripts.Use(self, ""scorching_canopy_card"");","","Mods/Terrias/ModResource/Images/Card/Terrias/scorching_canopy_card","","","Terrias_terrias_cardpack_solar_ember_crown_canopy"
"radiant_flame_slash","1","1","白曜,阳炣","CS.Terrias.Dll.Scripting.CardScripts.Init(self, ""radiant_flame_slash"");","","CS.Terrias.Dll.Scripting.CardScripts.Use(self, ""radiant_flame_slash"");","","Mods/Terrias/ModResource/Images/Card/Terrias/radiant_flame_slash","","Attack","Terrias_terrias_cardpack_solar_ember_crown_canopy"
"ember_cloak_card","1","0","","CS.Terrias.Dll.Scripting.CardScripts.Init(self, ""ember_cloak_card"");","","CS.Terrias.Dll.Scripting.CardScripts.Use(self, ""ember_cloak_card"");","","Mods/Terrias/ModResource/Images/Card/Terrias/ember_cloak_card","","","Terrias_terrias_cardpack_solar_ember_crown_canopy"
"draw_flame","1","1","白曜","CS.Terrias.Dll.Scripting.CardScripts.Init(self, ""draw_flame"");","","CS.Terrias.Dll.Scripting.CardScripts.Use(self, ""draw_flame"");","","Mods/Terrias/ModResource/Images/Card/Terrias/draw_flame","","Attack","Terrias_terrias_cardpack_solar_ember_crown_canopy"
"solar_prayer","2","1","白曜,阳炣","CS.Terrias.Dll.Scripting.CardScripts.Init(self, ""solar_prayer"");","","CS.Terrias.Dll.Scripting.CardScripts.Use(self, ""solar_prayer"");","","Mods/Terrias/ModResource/Images/Card/Terrias/solar_prayer","","","Terrias_terrias_cardpack_solar_ember_crown_canopy"
"burning_star_hex","2","1","白曜","CS.Terrias.Dll.Scripting.CardScripts.Init(self, ""burning_star_hex"");","","CS.Terrias.Dll.Scripting.CardScripts.Use(self, ""burning_star_hex"");","","Mods/Terrias/ModResource/Images/Card/Terrias/burning_star_hex","","Attack","Terrias_terrias_cardpack_solar_ember_crown_canopy"
"crown_radiance","3","2","白曜","CS.Terrias.Dll.Scripting.CardScripts.Init(self, ""crown_radiance"");","","CS.Terrias.Dll.Scripting.CardScripts.Use(self, ""crown_radiance"");","","Mods/Terrias/ModResource/Images/Card/Terrias/crown_radiance","","Skill","Terrias_terrias_cardpack_solar_ember_crown_canopy"
"*canopy_return","2","1","","CS.Terrias.Dll.Scripting.CardScripts.Init(self, ""*canopy_return"");","","CS.Terrias.Dll.Scripting.CardScripts.Use(self, ""*canopy_return"");","","Mods/Terrias/ModResource/Images/Card/Terrias/canopy_return","","Skill","Terrias_terrias_cardpack_solar_ember_crown_canopy"
"solar_phase_tuning","3","1","白曜,Burnout","CS.Terrias.Dll.Scripting.CardScripts.Init(self, ""solar_phase_tuning"");","","CS.Terrias.Dll.Scripting.CardScripts.Use(self, ""solar_phase_tuning"");","","Mods/Terrias/ModResource/Images/Card/Terrias/solar_phase_tuning","","","Terrias_terrias_cardpack_solar_ember_crown_canopy"
"solar_coronation","3","2","白曜","CS.Terrias.Dll.Scripting.CardScripts.Init(self, ""solar_coronation"");","","CS.Terrias.Dll.Scripting.CardScripts.Use(self, ""solar_coronation"");","","Mods/Terrias/ModResource/Images/Card/Terrias/solar_coronation","","","Terrias_terrias_cardpack_solar_ember_crown_canopy"
"blazing_crown_collapse","3","3","白曜","CS.Terrias.Dll.Scripting.CardScripts.Init(self, ""blazing_crown_collapse"");","","CS.Terrias.Dll.Scripting.CardScripts.Use(self, ""blazing_crown_collapse"");","","Mods/Terrias/ModResource/Images/Card/Terrias/blazing_crown_collapse","","Attack","Terrias_terrias_cardpack_solar_ember_crown_canopy"
"*radiant_oath","1","0","Burnout","CS.Terrias.Dll.Scripting.CardScripts.Init(self, ""*radiant_oath"");","","CS.Terrias.Dll.Scripting.CardScripts.Use(self, ""*radiant_oath"");","","Mods/Terrias/ModResource/Images/Card/Terrias/radiant_oath","","","Terrias_terrias_cardpack_solar_ember_crown_canopy"
"solar_ignition","1","1","白曜","CS.Terrias.Dll.Scripting.CardScripts.Init(self, ""solar_ignition"");","","CS.Terrias.Dll.Scripting.CardScripts.Use(self, ""solar_ignition"");","","Mods/Terrias/ModResource/Images/Card/Terrias/solar_ignition","","Skill","Terrias_terrias_cardpack_solar_ember_crown_canopy"
