Id,BaseScript,EndScript,Roles,EventName,ChoiceCount,ChoiceScript1,ChoiceScript2,RoleImage1
唯一标识,初始脚本,对话结束时执行,"出现的角色Id，说话者用*标记为旁听者，用,分割",何时执行对话（事件名）,选项数量,选项脚本,,角色1立绘覆盖
solar_memory_opening_1,,,SunExp_solar_memory_solar_memory_wuna_dialogue,,0,,,Mods/SunExp/ModResource/Images/Dialogue/WuNa
solar_memory_opening_2,,,SunExp_solar_memory_solar_memory_wuna_dialogue,,0,,,Mods/SunExp/ModResource/Images/Dialogue/WuNa
solar_memory_opening_3,,,SunExp_solar_memory_solar_memory_wuna_dialogue,,0,,,Mods/SunExp/ModResource/Images/Dialogue/WuNa
solar_memory_opening_4,,,SunExp_solar_memory_solar_memory_wuna_dialogue,,1,,,Mods/SunExp/ModResource/Images/Dialogue/WuNa
solar_memory_second_sun_end_1,,,SunExp_solar_memory_solar_memory_wuna_dialogue,,0,,,Mods/SunExp/ModResource/Images/Dialogue/WuNa
solar_memory_second_sun_end_2,,,SunExp_solar_memory_solar_memory_wuna_dialogue,,1,,,Mods/SunExp/ModResource/Images/Dialogue/WuNa
solar_memory_saint_wuna_prelude_1,,,SunExp_solar_memory_solar_memory_saint_wuna,,0,,,Mods/SunExp/ModResource/Images/Dialogue/WuNa_e
solar_memory_saint_wuna_prelude_2,,,SunExp_solar_memory_solar_memory_saint_wuna,,0,,,Mods/SunExp/ModResource/Images/Dialogue/WuNa_e
solar_memory_saint_wuna_prelude_3,,,SunExp_solar_memory_solar_memory_saint_wuna,,0,,,Mods/SunExp/ModResource/Images/Dialogue/WuNa_e
solar_memory_saint_wuna_prelude_4,,,SunExp_solar_memory_solar_memory_saint_wuna,,0,,,Mods/SunExp/ModResource/Images/Dialogue/WuNa_e
solar_memory_saint_wuna_prelude_5,,,SunExp_solar_memory_solar_memory_saint_wuna,,0,,,Mods/SunExp/ModResource/Images/Dialogue/WuNa_e
solar_memory_saint_wuna_prelude_6,,,SunExp_solar_memory_solar_memory_saint_wuna,,1,,,Mods/SunExp/ModResource/Images/Dialogue/WuNa_e
solar_memory_saint_wuna_end_1,,,SunExp_loneer_loneer,,0,,,Mods/SunExp/ModResource/Images/Dialogue/Loneer
solar_memory_saint_wuna_end_2,,,SunExp_solar_memory_solar_memory_unknown,,0,,,
solar_memory_saint_wuna_end_3,,,SunExp_loneer_loneer,,1,,,Mods/SunExp/ModResource/Images/Dialogue/Loneer
