"kind","pool","id","displayName","type","cost","cooldown","effectKind","description"
"Intent","Common.Basic","spirit.common.basic.probing-strike.intent","试探突击","Attack","1","0","damage.single","对生命最低的敌人造成伤害。"
"Intent","Common.Basic","spirit.common.basic.temporary-ward.intent","临时屏障","Defense","1","0","block.single","为自身获得护盾。"
"Intent","Common.Basic","spirit.common.basic.emergency-heal.intent","应急治愈","Recovery","2","1","heal.single","为生命比例最低的受伤友方恢复生命。"
"Intent","Common.Basic","spirit.common.basic.focused-chant.intent","集中咏唱","Support","1","1","numeric.prepare","下一次直接数值意图提高40%。"
"Intent","Common.Basic","spirit.common.basic.weakening-mark.intent","虚弱咒痕","Interference","1","1","buff.apply","对一名敌人施加1层虚弱。"
"Intent","Common.Tactical","spirit.common.tactical.breaking-strike.intent","破势一击","Attack","2","1","damage.single","造成伤害并施加1层易伤。"
"Intent","Common.Tactical","spirit.common.tactical.guardian-ward.intent","援护结界","Defense","2","1","block.single","为护盾最低的友方获得护盾。"
"Intent","Common.Tactical","spirit.common.tactical.life-stream.intent","生命涓流","Recovery","2","2","heal.single","立即治疗，并在目标下次行动结束时再次治疗。"
"Intent","Common.Tactical","spirit.common.tactical.magic-reflow.intent","魔能回流","Support","0","2","magic.recover","主动恢复2点魔能。"
"Intent","Common.Tactical","spirit.common.tactical.armor-break-mark.intent","破甲标记","Interference","2","1","buff.apply","对一名敌人施加2层易伤。"
"Intent","Common.Advanced","spirit.common.advanced.swift-pierce.intent","迅捷穿刺","Attack","3","1","damage.single","以速度为额外基值造成单体伤害。"
"Intent","Common.Advanced","spirit.common.advanced.astral-veil.intent","群星护幕","Defense","3","2","block.all","为所有友方获得护盾。"
"Intent","Common.Advanced","spirit.common.advanced.life-echo.intent","生命回响","Recovery","3","2","heal.all","为所有友方恢复生命。"
"Intent","Common.Advanced","spirit.common.advanced.overflow-conversion.intent","余能转化","Support","2","2","numeric.prepare","魔能全满时，使接下来2次直接数值意图提高25%。"
"Intent","Common.Advanced","spirit.common.advanced.lockdown-seal.intent","封锁刻印","Interference","3","2","buff.apply","对所有敌人各施加1层虚弱与易伤。"
"Passive","Common.Core","spirit.passive.common.core.opening-calibration","先发校准","","","","opening-calibration","每场战斗第一次直接数值意图提高25%。"
"Passive","Common.Core","spirit.passive.common.core.exploit-opening","乘隙追击","Attack","","","exploit-opening","单体伤害命中带有负面状态的目标时提高15%。"
"Passive","Common.Core","spirit.passive.common.core.emergency-barrier","应急屏障","Defense","","","emergency-barrier","每场战斗首次降至40%生命时获得一次护盾。"
"Passive","Common.Core","spirit.passive.common.core.stable-structure","稳定结构","Defense","","","stable-structure","行动规划前若没有护盾，获得少量护盾；自身回合冷却2。"
"Passive","Common.Core","spirit.passive.common.core.efficient-casting","节能施术","Support","","","efficient-casting","每场战斗第一次释放基础消耗不少于2的意图时少消耗1点魔能。"
"Passive","Common.Core","spirit.passive.common.core.recovery-loop","回能循环","Support","","","recovery-loop","被迫等待时额外恢复1点魔能。"
"Passive","Common.Core","spirit.passive.common.core.alternating-tactics","交替战术","","","","alternating-tactics","本次非等待意图类型与上次不同时，直接数值提高15%。"
"Passive","Common.Core","spirit.passive.common.core.guardian-contract","守护契约","Defense","","","guardian-contract","主人受到伤害后，下一次防御或恢复意图提高25%。"
"Passive","Common.Advanced","spirit.passive.common.advanced.mana-tide","盈缺律","Support","","","mana-tide","魔能为0时行动前恢复1；魔能全满时本回合直接数值提高20%。"
"Passive","Common.Advanced","spirit.passive.common.advanced.desperate-echo","绝境回响","","","","desperate-echo","生命不高于30%时，直接数值提高30%。"
"Passive","Common.Advanced","spirit.passive.common.advanced.swift-calculation","迅捷演算","Attack","","","swift-calculation","速度倍率贡献提高50%，但不改变速度与行动顺序。"
"Passive","Common.Advanced","spirit.passive.common.advanced.combo-resonance","连携余韵","","","","combo-resonance","使用辅助或恢复意图后，下一次攻击或防御直接数值提高30%。"
"Passive","Species","spirit.passive.species.base-game-10032.inherent","魔将 帕梅拉·本能","Attack","","","type-resonance","使用Attack 类型的直接数值意图时，数值提高10%。"
"Passive","Species","spirit.passive.species.base-game-10035.inherent","K·本能","Interference","","","type-resonance","使用Interference 类型的直接数值意图时，数值提高10%。"
"Passive","Species","spirit.passive.species.base-game-10033.inherent","熔火圣骸·本能","Attack","","","type-resonance","使用Attack 类型的直接数值意图时，数值提高10%。"
"Passive","Species","spirit.passive.species.base-game-10020.inherent","守夜人·本能","Interference","","","type-resonance","使用Interference 类型的直接数值意图时，数值提高10%。"
"Passive","Species","spirit.passive.species.base-game-10047.inherent","怠惰残片·本能","Attack","","","type-resonance","使用Attack 类型的直接数值意图时，数值提高10%。"
